rule,checks,pass,fail,not_applicable,fail_rate
all_slots_set,13,12,1,0,7.69%
check_beverage_prices,13,1,0,12,0.00%
check_opening_hours,13,1,0,12,0.00%
check_pizza_prices,13,1,0,12,0.00%
check_pizza_types,13,1,0,12,0.00%
check_times,13,1,0,12,0.00%
small_pizza_price,13,4,0,9,0.00%
unique_ids,1,1,0,0,0.00%
